PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Kris Dunn,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5''
Tyler Ulis,PG,5.20%,7.5,7.5,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2''
John Lucas III,PG,-%,-,-,5' 9.25'',5' 10.5'',7' 8'',154.4,6' 0''
Russ Smith,PG,3.50%,8.25,8.5,5' 11.5'',6' 0.75'',7' 11'',160,6' 3.5''
Daryl Dorsey,PG,-%,-,-,5' 11.25'',6' 0.5'',7' 10'',160.8,5' 11.5''
Aaron Brooks,PG,2.70%,-,-,5' 10'',5' 11.75'',7' 10'',161,6' 4''
T.J. Ford,PG,6.70%,-,-,5' 11'',,7' 9.5'',162,5' 11.5''
Marcus Hatten,PG,4.00%,-,-,6' 0.75'',,8' 2'',163,6' 6.25''
Eric Maynor,PG,5.40%,-,-,6' 2.25'',6' 3.25'',8' 1'',163.6,6' 2.5''
Marcus Paige,PG,4.30%,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25''
Dennis Schroder,PG,4.10%,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75''
Hollis Price,PG-SG,7.30%,-,-,5' 11.5'',,7' 10.5'',165,6' 4.5''
Travis Diener,PG-SG,-%,-,-,5' 11.75'',6' 1'',7' 9.5'',165.2,5' 11.75''
Tyrone Brazelton,PG,8.10%,-,-,5' 10'',5' 11'',7' 10'',166,6' 1.75''
Mike Taylor,SG-PG,3.80%,-,-,6' 0.75'',6' 2'',8' 2'',166.2,6' 7.25''
Darren Collison,PG,5.70%,-,-,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3''
Kobi Simmons,PG,5.00%,8.5,9.5,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6''
Luke Ridnour,PG,5.30%,-,-,6' 1'',,7' 11.5'',167,6' 3''
DaShaun Wood,PG,5.40%,-,-,5' 10.75'',5' 11.5'',7' 8'',167,6' 0.75''
Keifer Sykes,PG,5.00%,8.5,9.5,5' 10.5'',5' 11.75'',7' 9'',167.2,6' 2''
Kyle Guy,SG,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Jamaal Tatum,PG,5.00%,-,-,5' 11.5'',6' 0.75'',7' 9.5'',168,6' 2.5''
Jared Harper,PG,3.90%,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5''
Ryan Boatright,PG,6.60%,7.5,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5''
De?Aaron Fox,PG,4.50%,8.5,8.5,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5''
Devin Harris,PG,5.30%,-,-,6' 1.75'',6' 3'',8' 2.5'',170,6' 7.5''
Omar Quintero,PG,14.10%,-,-,5' 9.75'',5' 11.25'',7' 8.5'',170,5' 11.5''
Bobby Brown,PG,6.60%,-,-,5' 11'',6' 1.75'',7' 11.5'',170,6' 4''
Shane Larkin,PG,3.80%,7.5,8.75,5' 10.25'',5' 11.5'',7' 5.5'',170.8,5' 10.75''
Andre Barrett,PG,6.70%,-,-,5' 8.75'',5' 9.75'',7' 8'',171,6' 1''
CJ Watson,PG,5.20%,-,-,6' 0.5'',6' 1.75'',8' 0'',171,6' 6''
Jordan Farmar,PG,4.40%,-,-,6' 0.75'',6' 2'',7' 10.5'',171,6' 3''
D.J. Augustin,PG,8.10%,-,-,5' 10'',5' 11.5'',7' 10.5'',171.5,6' 3.5''
Ivan Koljevic,PG,6.70%,-,-,6' 1'',6' 2'',7' 11'',172,6' 2.5''
Rudy Fernandez,SG,-%,-,-,6' 4.75'',6' 6'',8' 5.5'',172,6' 7.5''
Tremont Waters,PG,6.60%,8,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25''
Taurean Green,PG,4.60%,-,-,5' 11'',6' 0.75'',8' 0'',173,6' 2.25''
Brian Roberts,PG,3.60%,-,-,6' 0.25'',6' 1.25'',7' 11'',173,6' 1.25''
Cat Barber,PG,4.50%,8,8.5,6' 1.5'',6' 2.75'',7' 11.5'',173,6' 5.5''
Norris Cole,PG,4.70%,8.5,9.5,6' 0.25'',6' 1.75'',7' 11.5'',174.4,6' 2.25''
Will Barton,SG-SF,4.10%,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75''
Aaron Miles,PG,-%,-,-,6' 0'',6' 1.5'',7' 10'',174.6,6' 3.5''
Chris Quinn,PG-SG,5.90%,-,-,6' 0.5'',6' 1.5'',7' 10'',175,6' 5''
Mike Conley,PG,4.20%,-,-,5' 11'',6' 0.75'',7' 10.5'',175,6' 5.75''
Dominic James,PG,4.80%,-,-,5' 10'',5' 11.75'',7' 9'',175,6' 2''
Jeff Teague,PG,4.50%,-,-,6' 0.25'',6' 1.5'',8' 2.5'',175.2,6' 7.5''
Shabazz Napier,PG,7.35%,8.25,8.5,5' 11'',6' 1'',7' 9'',175.2,6' 3.25''
Monte Morris,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4''
Patty Mills,PG,6.90%,-,-,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2''
Drew Neitzel,PG,6.20%,-,-,5' 11.75'',6' 0.75'',7' 11'',175.5,6' 2.5''
Aleksandar Capin,PG,9.30%,-,-,6' 0'',6' 1.25'',7' 10'',176,6' 1.5''
Pierre Jackson,PG,4.50%,7.5,8.25,5' 9.5'',5' 10.5'',7' 6'',176,5' 10''
Chris Thomas,PG,-%,-,-,5' 11.75'',6' 1'',7' 11'',176.2,6' 3''
Edmond Sumner,PG,8.30%,8.25,9,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
Monta Ellis,SG-PG,-%,-,-,6' 2.25'',6' 3.25'',8' 2'',176.6,6' 2.75''
Brandon Knight,PG,4.20%,8.25,9.5,6' 1.5'',6' 3.25'',8' 2.5'',176.8,6' 6.75''
Gerry McNamara,PG-SG,12.80%,-,-,5' 11.75'',6' 0.5'',7' 8.5'',177,6' 0.75''
Tyshawn Taylor,PG,4.20%,8.75,8.75,6' 2.75'',6' 4'',8' 1.5'',177,6' 6.25''
Phil Pressey,PG,4.70%,7.75,9.75,5' 9.5'',5' 11.5'',7' 8'',177,6' 2.25''
Kay Felder,PG,5.80%,8.25,8.5,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5''
Marcus Thornton,PG-SG,5.30%,8.25,8.5,6' 1.75'',6' 2.75'',8' 1.5'',177.4,6' 7.75''
Trae Young,PG,5.35%,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3''
Troy Bell,PG,5.30%,-,-,6' 0.25'',,8' 1.5'',178,6' 5''
Chris Paul,PG,-%,-,-,5' 11.75'',6' 1'',7' 9'',178,6' 4.25''
Erick Green,PG,4.35%,8.5,9,6' 1.5'',6' 3'',8' 2'',178.2,6' 5.75''
Devon Dotson,PG,5.90%,8.25,9.5,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25''
Luther Head,PG-SG,-%,-,-,6' 2'',6' 3'',8' 2.5'',178.8,6' 5.25''
Anthony Roberson,PG,-%,-,-,6' 0.75'',6' 2.5'',7' 11'',178.8,6' 2.75''
BJ Young,SG-PG,4.70%,8.5,9.5,6' 2.25'',6' 3.5'',8' 3'',178.8,6' 8.25''
Chasson Randle,PG,4.50%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0.5'',178.8,6' 7''
Dee Brown,PG-SG,-%,-,-,5' 11'',6' 0'',7' 10'',179,6' 2''
Tarence Kinsey,SF-SG,4.10%,-,-,6' 4.75'',6' 5.5'',8' 4.5'',179,6' 6.75''
Quinn Cook,PG,6.70%,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179,6' 4''
Jaylen Hands,PG,5.00%,8,8,6' 1.5'',6' 2.75'',8' 2'',179,6' 5.5''
Jordan Bone,SG,5.00%,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25''
Jeremy Lamb,SG,4.50%,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11''
Seth Curry,SG,9.60%,8,8.25,6' 1'',6' 3'',8' 1.5'',179.2,6' 4''
Jordan McRae,SG,5.20%,8.75,8.5,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5''
Marquis Teague,PG,6.30%,8.25,7.75,6' 1'',6' 2'',8' 0.5'',179.8,6' 7.25''
Jon Scheyer,PG-SG,5.40%,7.75,9.5,6' 4.75'',6' 6'',8' 3'',180,6' 3.25''
Shai Gilgeous-Alexander,PG,3.00%,9,9,6' 4.5'',6' 6'',8' 8'',180,6' 11.5''
Shamorie Ponds,PG,9.80%,7.75,8,5' 11.5'',6' 0.5'',8' 0.5'',180,6' 3.5''
Avery Bradley,SG-PG,4.00%,8.25,9.5,6' 2'',6' 3.25'',8' 2.5'',180.4,6' 7.25''
Myck Kabongo,PG,6.00%,8.25,9,6' 1.25'',6' 2.75'',8' 2'',180.4,6' 6.25''
Jaylen Hands,PG,5.10%,8,8.25,6' 1.5'',6' 3'',8' 1'',180.4,6' 5.5''
Peyton Siva,PG,6.05%,8,9.75,5' 11.5'',6' 1'',7' 9'',180.6,6' 3''
Patrick McCaw,PG-SG,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10''
Zach LaVine,PG,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25''
Tim Bowers,PG-SG,2.60%,-,-,6' 0.5'',6' 1.75'',8' 2'',181,6' 9''
Nate Robinson,PG,6.70%,-,-,5' 7.75'',5' 9'',7' 7.5'',181,6' 1''
Brandon Heath,PG,9.00%,-,-,6' 2'',6' 3.75'',7' 10'',181,6' 7''
George Hill,PG,3.00%,-,-,6' 1.25'',6' 2.5'',8' 1.5'',181,6' 9''
Stephen Curry,PG-SG,5.70%,-,-,6' 2'',6' 3.25'',8' 1'',181,6' 3.5''
Ky Bowman,PG,4.90%,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
Delon Wright,PG,6.60%,8,8.5,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5''
Tyler Harvey,SG,9.20%,7.75,8.75,6' 2.75'',6' 4'',8' 2.5'',181.4,6' 5.5''
Tyler Ennis,PG,6.20%,8.25,8.75,6' 1'',6' 2.5'',8' 2'',181.5,6' 7.25''
Kelvin Pena,SG-PG,8.60%,-,-,6' 2.25'',6' 3.25'',8' 3.5'',182,6' 6.5''
Sean Dockery,PG-SG,7.30%,-,-,6' 0.75'',6' 2'',7' 11.5'',182,6' 4.5''
Jamar Butler,PG,6.00%,-,-,6' 0.25'',6' 1.5'',8' 1'',182,6' 4.75''
Malik Newman,SG,5.60%,8.25,9.25,6' 2.25'',6' 3.5'',8' 1.5'',182.2,6' 5.75''
Chris Boucher,PF,5.40%,9.25,10.5,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4''
Rodrigue Beaubois,PG,7.90%,-,-,6' 1.25'',6' 2.25'',8' 4'',182.4,6' 9.75''
Tyler Dorsey,SG,4.70%,8.5,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25''
Cameron Payne,PG,6.30%,8.5,8.25,6' 0.75'',6' 1.5'',8' 1.5'',182.8,6' 7.25''
Delonte West,PG-SG,6.70%,-,-,6' 1.5'',6' 2.75'',8' 3.5'',183,6' 6''
Alex Acker,SG,-%,-,-,6' 3.75'',6' 4.75'',8' 6.5'',183,7' 0''
Taquan Dean,SG-PG,3.90%,-,-,6' 2'',6' 3'',8' 2'',183,6' 6.75''
Jared Jordan,PG,7.00%,-,-,6' 0'',6' 1.75'',7' 10'',183,6' 0''
Kendall Williams,PG,7.20%,8,7.75,6' 2.25'',6' 3.75'',8' 3'',183,6' 5.5''
Collin Sexton,PG,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25''
Anfernee Simons,SG-PG,7.70%,8.75,9,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25''
Keenan Evans,PG,6.50%,8.5,8,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25''
Toney Douglas,PG,5.20%,-,-,6' 1'',6' 2'',8' 1.5'',183.4,6' 6''
Ronald Steele,PG,8.10%,-,-,6' 0.25'',6' 1.5'',8' 1.5'',183.5,6' 4.25''
Sean Singletary,PG,4.20%,-,-,5' 11'',6' 0'',7' 11'',183.8,6' 4.5''
Gary Payton II,PG,3.95%,8.75,9.5,6' 2'',6' 3'',8' 3.5'',183.8,6' 8''
Marlon Parmer,PG,9.30%,-,-,6' 0.75'',,8' 1'',184,6' 3.5''
Keydren Clark,PG,11.60%,-,-,5' 9'',5' 10.25'',7' 8.5'',184,6' 2.5''
Ramel Bradley,PG-SG,5.70%,-,-,6' 1.25'',6' 2.25'',8' 2'',184,6' 5''
Kemba Walker,PG,5.90%,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5''
Michael Carter-Williams,PG,4.40%,7.5,8.5,6' 4.75'',6' 5.75'',8' 5'',184.4,6' 7.25''
Markel Brown,SG,4.20%,8.25,9.75,6' 2.5'',6' 3.5'',8' 4'',184.4,6' 8.75''
Terrance Ferguson,SG-SF,5.80%,8.5,10,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75''
Tyus Jones,PG,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5''
Ronnie Price,PG,-%,-,-,6' 0.75'',6' 2.25'',8' 0.5'',184.8,6' 5.5''
Tony Bobbitt,SG,7.30%,-,-,6' 2.75'',6' 4'',8' 4'',185,6' 7''
Renaldas Seibutis,SG,6.10%,-,-,6' 4'',6' 5.75'',8' 5'',185,6' 8.75''
Corey Brewer,SF-SG,4.20%,-,-,6' 6'',6' 7.75'',8' 7'',185,6' 8.25''
Mustafa Shakur,PG,4.10%,-,-,6' 3'',6' 4.5'',8' 3'',185,6' 5.5''
Ramon Sessions,PG,6.20%,-,-,6' 2'',6' 3.75'',8' 1.5'',185,6' 4.25''
R.J. Hunter,SG,6.00%,8.5,8.25,6' 4.5'',6' 6'',8' 8'',185,6' 10.5''
Manny Harris,SG,3.80%,8.5,9,6' 4'',6' 5.5'',8' 6'',185.1,6' 7.25''
Jack McClinton,SG-PG,6.20%,-,-,5' 11.75'',6' 0.75'',8' 0'',185.2,6' 2.5''
Jawun Evans,PG,9.10%,8,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5''
Jalen Lecque,PG,4.00%,8.75,8.5,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5''
Elfrid Payton,PG,5.65%,8.75,9,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8''
Olivier Hanlan,PG-SG,4.30%,8,8.75,6' 3.25'',6' 4.25'',8' 4'',185.8,6' 6''
Kirk Hinrich,PG-SG,5.30%,-,-,6' 2.75'',,8' 2.5'',186,6' 6''
Shaun Livingston,PG-SG,6.70%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',186,6' 11''
Acie Law,PG,5.60%,-,-,6' 2'',6' 3.5'',8' 2'',186,6' 6.5''
Isaiah Thomas,PG,6.70%,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75''
Semaj Christon,PG,5.25%,8.5,8.25,6' 1.5'',6' 3.25'',8' 3'',186,6' 6.5''
Cory Joseph,PG,9.70%,8.5,10.5,6' 2'',6' 3.25'',8' 3'',186.2,6' 5.5''
Jordan Clarkson,PG,4.30%,8.25,9,6' 3.25'',6' 5'',8' 2'',186.3,6' 8''
Devonte Graham,PG,4.80%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25''
Rawle Marshall,SG-SF,-%,-,-,6' 4.5'',6' 5.75'',8' 8'',186.6,7' 1''
Bracey Wright,SG-PG,-%,-,-,6' 1.25'',6' 2.5'',8' 4.5'',186.8,6' 10''
Tyler Honeycutt,SF,5.30%,8.5,9.5,6' 6.75'',6' 8.25'',8' 9'',186.8,6' 9''
Tu Holloway,PG,8.50%,8.75,10,5' 10.5'',5' 11.75'',7' 10.5'',186.8,6' 5.5''
Wayne Wallace,PF,4.60%,-,-,6' 7.25'',,9' 0'',187,7' 2''
Jermaine Boyette,PG-SG,7.30%,-,-,6' 1'',,8' 0'',187,6' 4''
Chris McCray,SG,9.60%,-,-,6' 3'',6' 4'',8' 0.5'',187,6' 5.75''
Trey Burke,PG,6.90%,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187,6' 5.5''
Xavier Thames,PG,6.40%,8.25,9,6' 2.25'',6' 3.5'',8' 0'',187,6' 4''
Aaron Holiday,PG,6.40%,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5''
Nolan Smith,PG,5.60%,8.5,9.25,6' 1.5'',6' 3.5'',8' 3'',187.6,6' 5.5''
Jared Cunningham,SG-PG,3.60%,8.25,9,6' 3.5'',6' 5'',8' 2'',187.6,6' 6.5''
LaceDarius Dunn,SG,5.50%,9,10.25,6' 3'',6' 4'',8' 5'',187.8,6' 6.25''
TJ McConnell,PG,7.30%,7.5,7,6' 0.5'',6' 2'',8' 0.5'',187.8,6' 2''
JR Reynolds,PG,8.20%,-,-,6' 0'',6' 2.75'',7' 11'',188,6' 3.25''
Marcus Denmon,SG,6.60%,8.25,9.75,6' 2.25'',6' 3.25'',7' 10.5'',188.2,6' 5''
Isaiah Canaan,PG,5.90%,8.25,9.5,5' 11'',6' 0'',7' 10.5'',188.4,6' 4.5''
Jerome Robinson,SG,6.05%,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
Will Conroy,PG,-%,-,-,6' 1'',6' 2'',8' 0.5'',188.6,6' 3''
Derrick Walton Jr.,PG,5.80%,8,8.5,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
Cody Martin,SG-SF,5.45%,8.5,9,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25''
Landry Shamet,PG,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
Will Bynum,PG-SG,-%,-,-,5' 10.5'',5' 11.5'',7' 9'',188.8,6' 3.5''
Damian Lillard,PG,5.90%,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75''
Frank Mason III,PG,4.30%,8,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25''
Mo Williams,PG-SG,6.70%,-,-,6' 0.75'',,8' 2.5'',189,6' 5.5''
Archie Goodwin,SG,4.55%,8.5,9,6' 3.75'',6' 5.25'',8' 6'',189,6' 9.5''
Ben McLemore,SG,5.00%,8.75,9.5,6' 3.5'',6' 4.75'',8' 4.5'',189.2,6' 7.75''
Lorenzo Brown,PG,3.95%,8.25,8.5,6' 4'',6' 5.25'',8' 4'',189.2,6' 7''
Malik Newman,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
Francisco Garcia,SF-SG,-%,-,-,6' 5.75'',6' 7'',8' 7'',189.6,6' 10.75''
Devin Robinson,SF,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75''
Malik Beasley,SG,6.90%,8.5,9,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7''
Derrick White,PG,6.20%,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
Derrick Zimmerman,PG,5.30%,-,-,6' 1'',,8' .25'',190,6' 9''
Brandin Knight,PG,10.50%,-,-,5' 11.75'',,7' 11.5'',190,6' 6''
Rashad Wright,PG,8.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',190,6' 10''
Carl Krauser,PG,8.00%,-,-,5' 11.75'',6' 0.75'',8' 1'',190,6' 6.25''
JJ Redick,SG,7.00%,-,-,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25''
Keith Brumbaugh,SF-PF,4.00%,-,-,6' 7.5'',6' 8.75'',8' 8.5'',190,6' 7.25''
Darius Morris,PG-SG,5.30%,8.75,10,6' 3.25'',6' 5.25'',8' 6'',190,6' 7.5''
Terry Rozier,PG-SG,5.60%,8.25,8.5,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25''
Nigel Williams-Goss,PG,5.60%,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25''
Jerel McNeal,SG,5.40%,-,-,6' 1.5'',6' 3'',8' 3.5'',190.4,6' 7.25''
Jamaal Franklin,SG-SF,8.25%,8.5,8.25,6' 4'',6' 5.25'',8' 7.5'',190.8,6' 11.25''
Jordan Poole,SG,7.50%,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
Antonio Burks,PG,9.90%,-,-,6' 0'',6' 0.75'',8' 0.5'',191,6' 6.5''
Zabian Dowdell,PG,5.10%,-,-,6' 1'',6' 3'',8' 4'',191,6' 10''
Kyrie Irving,PG,10.20%,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4''
Caris LeVert,SG,7.55%,8.5,9.25,6' 5.75'',6' 7'',8' 5'',191,6' 10''
Trevon Duval,PG,5.20%,8.75,10,6' 1.5'',6' 2.5'',8' 1.5'',191,6' 8.25''
E'Twaun Moore,SG,7.60%,9,10,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5''
Ray McCallum,PG,7.30%,8,8.75,6' 0.25'',6' 1.75'',8' 0.5'',191.4,6' 3.25''
Coby White,PG,4.30%,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5''
Eric Bledsoe,PG,5.60%,8.5,9.75,6' 0.25'',6' 1.5'',8' 2'',191.6,6' 7.5''
Andy Rautins,SG,6.20%,8,9.75,6' 4.25'',6' 5'',8' 4'',191.6,6' 7''
Aaron Craft,PG,6.10%,7.75,8.5,6' 0.75'',6' 1.75'',7' 10.5'',191.6,6' 2''
Jalen McDaniels,SF,5.70%,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25''
Austin Daye,SF-PF,5.50%,-,-,6' 9.75'',6' 10.75'',9' 2'',191.8,7' 2.75''
Corey Hawkins,SG-PG,5.50%,8.75,9,6' 0.75'',6' 1.75'',8' 3.5'',191.8,6' 8''
Melo Trimble,PG,8.35%,8,8.75,6' 1.25'',6' 2.5'',7' 8.5'',191.8,6' 2''
Ben Gordon,PG-SG,5.30%,-,-,6' 1'',6' 2.25'',8' 3'',192,6' 8.5''
Gerald Green,SF,-%,-,-,6' 6'',6' 7.25'',8' 8'',192,6' 9.75''
Russell Westbrook,PG,4.80%,-,-,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75''
Kim English,SG,4.30%,8.5,8.75,6' 4.5'',6' 5.75'',8' 2'',192,6' 6.5''
Cody Martin,PG-SG,5.00%,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25''
Devyn Marble,SG,6.90%,8.25,8.5,6' 5'',6' 6.5'',8' 6'',192.4,6' 9''
Kadeem Allen,PG,6.40%,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
Terence Davis,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75''
Tyler Herro,SG,7.10%,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25''
Alec Burks,SG,5.10%,9,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10''
A.J. Price,PG,12.40%,-,-,6' 0.5'',6' 2'',8' 1'',192.8,6' 3.75''
Jordan Taylor,PG,5.50%,8.25,9.5,6' 1'',6' 2'',7' 8.5'',192.8,6' 3''
Deonte Burton,PG,7.65%,8.25,8,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7''
Ruben Douglas,SG,6.00%,-,-,6' 3.5'',,8' 4.5'',193,6' 7.25''
Sasha Vujacic,PG-SG,14.10%,-,-,6' 5.5'',,8' 5'',193,6' 5.5''
Randall Orr,PF-SF,6.70%,-,-,6' 9'',6' 10.75'',8' 11.5'',193,6' 10.5''
Chris Duhon,PG,6.70%,-,-,6' 0'',6' 1.25'',8' 2'',193,6' 6.5''
Sonny Weems,SG-SF,4.40%,-,-,6' 4'',6' 5.5'',8' 8'',193,6' 10''
DeAnthony Melton,SG-PG,5.20%,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
Carl Krauser,PG-SG,-%,-,-,5' 11.5'',6' 0.75'',8' 2.5'',193.4,6' 5.5''
D?Angelo Russell,PG-SG,8.30%,8.75,9.75,6' 3.25'',6' 5'',8' 6'',193.4,6' 9.75''
Justin Jackson,SF,7.60%,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75''
Wesley Iwundu,SG-SF,4.00%,8.75,9.5,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1''
V.J. Beachem,SG-SF,6.80%,8.5,9,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25''
Demetrius Jackson,PG,6.50%,8.25,9,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5''
Jason Gardner,PG,9.30%,-,-,5' 9.75'',,7' 8'',194,6' 1''
Will Blalock,PG,7.20%,-,-,5' 11.25'',6' 0.5'',8' 0.5'',194,6' 6''
Ron Lewis,SG,4.50%,-,-,6' 2'',6' 4.5'',8' 3'',194,6' 6.5''
Javaris Crittenton,PG,4.50%,-,-,6' 3'',6' 4.75'',8' 2'',194,6' 5.5''
Kevin Murphy,SG,5.80%,8.5,8.5,6' 5'',6' 6.25'',8' 3'',194,6' 6.75''
Isaiah Cousins,PG,4.80%,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194,6' 6.25''
Kevin Huerter,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
Tre Simmons,SG-SF,-%,-,-,6' 4'',6' 5'',8' 6.5'',194.2,6' 7.5''
Jarrett Culver,SG,5.00%,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5''
Marcus Thornton,SG,4.80%,-,-,6' 2.75'',6' 3.75'',8' 3'',194.4,6' 5''
Ty Jerome,PG,6.50%,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
Shan Foster,SG,6.30%,-,-,6' 4'',6' 5.25'',8' 7.5'',194.5,6' 11.5''
Marshon Brooks,SG,5.20%,9,10.5,6' 4.25'',6' 5.25'',8' 5'',194.6,7' 1''
Josh Selby,SG-PG,7.90%,8.5,9,6' 1.75'',6' 3'',8' 2'',194.6,6' 5.25''
Bruce Brown,SG-PG,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
Kostas Antetokounmpo,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Charles Matthews,SG,3.80%,8.5,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5''
Darius Washington,PG,9.70%,-,-,5' 11.5'',6' 1'',8' 0'',195,6' 4''
John Gilchrist,PG,-%,-,-,6' 1.25'',6' 2.5'',8' 0.5'',195.2,6' 9.25''
Armon Johnson,PG-SG,5.60%,8.25,9.25,6' 2'',6' 3.25'',8' 3.5'',195.2,6' 8''
Melo Trimble,PG,10.60%,8,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2''
Louis King,SF,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Jonny Flynn,PG,6.30%,-,-,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4''
